"","DOY","Location","daily_plant_C","daily_plant_photosynthesis","daily_plant_respiration","ID"
"1","Aug_17","Albuquerque",-0.0101277207031106,0.0618769350183855,0.0720046557214961,"Medlyn"
"2","Aug_17","London",0.0410166453069492,0.0782154890322937,0.0371988437253445,"Medlyn"
"3","Aug_18","Albuquerque",-0.00967304459195713,0.0605257300316829,0.07019877462364,"Medlyn"
"4","Aug_18","London",0.0468409242055767,0.0836987809995941,0.0368578567940174,"Medlyn"
"5","Aug_19","Albuquerque",-0.016463979881874,0.0515869856894545,0.0680509655713285,"Medlyn"
"6","Aug_19","London",0.0469380841867785,0.0831616727217704,0.0362235885349919,"Medlyn"
"7","May_17","Albuquerque",0.0397206530233996,0.0673834106771571,0.0276627576537574,"Medlyn"
"8","May_17","London",0.0531970840690589,0.0728876050160119,0.0196905209469529,"Medlyn"
"9","May_18","Albuquerque",0.0450801804879504,0.076695331203312,0.0316151507153616,"Medlyn"
"10","May_18","London",0.0566558128081553,0.0744890882916704,0.0178332754835151,"Medlyn"
"11","May_19","Albuquerque",0.0394702658423128,0.0628228547685769,0.023352588926264,"Medlyn"
"12","May_19","London",0.0525645916166986,0.0798063669628013,0.0272417753461027,"Medlyn"
"13","Oct_17","Albuquerque",0.0233742618474273,0.0570549041804319,0.0336806423330046,"Medlyn"
"14","Oct_17","London",0.0303856605799967,0.043269999014531,0.0128843384345342,"Medlyn"
"15","Oct_18","Albuquerque",0.0326715929984357,0.0605455822813157,0.02787398928288,"Medlyn"
"16","Oct_18","London",0.0364937434864719,0.0494862659457136,0.0129925224592416,"Medlyn"
"17","Oct_19","Albuquerque",0.0372521948815341,0.0609728639204654,0.0237206690389314,"Medlyn"
"18","Oct_19","London",0.0404855204497981,0.0537758591044706,0.0132903386546725,"Medlyn"
"19","Aug_17","Albuquerque",-0.0101277207031106,0.0618769350183855,0.0720046557214961,"Medlyn"
"20","Aug_17","London",0.0410166453069492,0.0782154890322937,0.0371988437253445,"Medlyn"
"21","Aug_18","Albuquerque",-0.00967304459195713,0.0605257300316829,0.07019877462364,"Medlyn"
"22","Aug_18","London",0.0468409242055767,0.0836987809995941,0.0368578567940174,"Medlyn"
