"","ID","file","variable","model","deviance_SS","numIter","BIC","k25","Ea","delS","Hd","minT","maxT","AIC"
"1","1_elevated","WTC2_ACidata_processed.csv","Vcmax","Medlyn",1342.40606026423,15,58.448816030442,78.3136891406965,87.2323813078906,0.291644874623339,86.6634344805728,16.9972727272727,40.3132142857143,59.4900186843017
"2","1_elevated","WTC2_ACidata_processed.csv","Jmax","Medlyn",499.815693605992,27,52.5209394353067,136.04237709164,35.1177609647432,0.255622006823716,79.7735121982954,16.9972727272727,40.3132142857143,53.5621420891664
"3","10_ambient","WTC2_ACidata_processed.csv","Vcmax","Medlyn",262.000570964576,23,42.0311187471109,72.7742584847121,110.484839955227,0.358388049081959,107.527692539177,22.0347166,41.3567857142857,43.9839291849404
"4","10_ambient","WTC2_ACidata_processed.csv","Jmax","Medlyn",998.993743151602,2,48.7231279096339,131.80765003022,3.82035607720131,0.729638410326041,234.043987822519,22.0347166,41.3567857142857,50.6759383474634
"5","107_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",79.4810299255138,28,36.0669772115343,40.4396230533477,88.1420987135903,0.607703525637246,187.774930356843,20.0287152707143,39.9496755583333,38.0197876493638
"6","107_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",71.5527194702137,7,35.5415578982948,92.3227179571174,35.7184259037442,1.31902053270356,413.657256513137,20.0287152707143,39.9496755583333,37.4943683361243
"7","109_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",12.1735581513319,7,26.6857165068482,55.9049118927785,53.3675643176719,1.65744065096468,520.631950390085,20.7740471169231,39.7841266,28.6385269446777
"8","109_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",3.7374779770107,6,20.7814405633509,101.633431770549,40.7099428309089,0.865902860459874,272.586762964092,20.7740471169231,39.7841266,22.7342510011804
"9","11_elevated","WTC2_ACidata_processed.csv","Vcmax","Medlyn",385.209538759026,93,50.9582275857333,89.2144134898023,61.333358478624,0.429942885794455,135.418751806412,17.59,40.9829166666667,51.999430239593
"10","11_elevated","WTC2_ACidata_processed.csv","Jmax","Medlyn",NA,NA,NA,NA,NA,NA,NA,17.59,40.9829166666667,NA
"11","118_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",5.66037669843196,8,22.8568375545153,74.5407213946582,61.1415808498139,0.636412103191538,200.825515764962,19.9896046325,39.9227291992308,24.8096479923448
"12","118_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",31.7728861765828,23,31.4824517826909,134.528937554226,46.0851066107017,0.486564352297685,153.965025029676,19.9896046325,39.9227291992308,33.4352622205204
"13","119_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",21.6085607186562,14,29.5548331607453,46.7329228007151,74.9117934515941,0.658578205734658,205.529341255232,20.7106982883333,39.9954217776923,31.5076435985748
"14","119_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",1.64506921405591,5,16.6782976257773,83.3892111265018,44.2371595094352,0.833735491024869,263.030549720286,20.7106982883333,39.9954217776923,18.6311080636068
"15","12_ambient","WTC2_ACidata_processed.csv","Vcmax","Medlyn",1003.73587069967,22,56.704408061119,87.4551996557191,138.458133638873,0.400182795362554,118.524609027885,17.0190909090909,40.9240740740741,57.7456107149787
"16","12_ambient","WTC2_ACidata_processed.csv","Jmax","Medlyn",56.0007293926746,19,39.3876912223451,152.151408577781,36.3372986824421,0.74010878058533,232.91029422607,17.0190909090909,40.9240740740741,40.4288938762048
"17","132_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",6.28201530311981,160,23.3778395177477,81.0845585426248,64.9317959990945,0.798116515328693,250.412568664124,20.0274799658333,39.931180635,25.3306499555772
"18","132_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",31.8116854181675,76,31.4885537733825,141.620525000585,44.6026461502989,0.35177486702392,112.472913104635,20.0274799658333,39.931180635,33.441364211212
"19","133_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",4.53000222405794,12,21.7429974843309,59.2193217011572,70.2900328219966,1.14799543463896,358.01802163049,19.9025317816667,39.963477135,23.6958079221604
"20","133_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",NA,NA,NA,NA,NA,NA,NA,19.9025317816667,39.963477135,NA
"21","134_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",4536.01627051954,1,56.2884074939285,70.4849831088972,20.7540937415943,0.65,250,20.0610604291667,39.9829184216667,58.241217931758
"22","134_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Jmax","Medlyn",2492.00093131815,21,53.293591600199,120.068637973885,0,1.56840594644463,492.239591157174,20.0610604291667,39.9829184216667,55.2464020380285
