DOY,Hour,Month,Location,Time,Ca,Qin,VPD,Temp
17,1,May,Albuquerque,1,410,0,1.679730465,290.3722222
17,2,May,Albuquerque,2,410,0,0.990635018,287.0388889
17,3,May,Albuquerque,3,410,0,0.97268623,287.0388889
17,4,May,Albuquerque,4,410,0,0.97268623,287.0388889
17,5,May,Albuquerque,5,410,0,0.63423627,284.2611111
17,6,May,Albuquerque,6,410,57.582,0.580565609,283.15
17,7,May,Albuquerque,7,410,57.582,0.568206671,283.15
17,8,May,Albuquerque,8,410,76.776,0.543660177,283.15
17,9,May,Albuquerque,9,410,76.776,0.543660177,283.15
17,10,May,Albuquerque,10,410,76.776,0.543660177,283.15
17,11,May,Albuquerque,11,410,1996.176,1.467908974,290.3722222
17,12,May,Albuquerque,12,410,1996.176,1.467908974,290.3722222
17,13,May,Albuquerque,13,410,2667.966,2.446935075,295.3722222
17,14,May,Albuquerque,14,410,1996.176,1.467908974,290.3722222
17,15,May,Albuquerque,15,410,1996.176,1.467908974,290.3722222
17,16,May,Albuquerque,16,410,2687.16,3.009414172,297.5944444
17,17,May,Albuquerque,17,410,2687.16,3.009414172,297.5944444
17,18,May,Albuquerque,18,410,2687.16,3.009414172,297.5944444
17,19,May,Albuquerque,19,410,115.164,2.955750336,297.5944444
17,20,May,Albuquerque,20,410,115.164,2.955750336,297.5944444
17,21,May,Albuquerque,21,410,0,2.955750336,297.5944444
17,22,May,Albuquerque,22,410,0,2.029959251,293.15
17,23,May,Albuquerque,23,410,0,1.631443436,290.9277778
17,24,May,Albuquerque,24,410,0,1.631443436,290.9277778
18,25,May,Albuquerque,1,410,0,1.631443436,290.9277778
18,26,May,Albuquerque,2,410,0,1.631443436,290.9277778
18,27,May,Albuquerque,3,410,0,1.631443436,290.9277778
18,28,May,Albuquerque,4,410,0,1.631443436,290.9277778
18,29,May,Albuquerque,5,410,0,1.631443436,290.9277778
18,30,May,Albuquerque,6,410,57.582,1.631443436,290.9277778
18,31,May,Albuquerque,7,410,57.582,0.786807716,284.2611111
18,32,May,Albuquerque,8,410,57.582,0.844822992,284.8166667
18,33,May,Albuquerque,9,410,230.328,0.939589807,285.9277778
18,34,May,Albuquerque,10,410,230.328,0.939589807,285.9277778
18,35,May,Albuquerque,11,410,230.328,0.939589807,285.9277778
18,36,May,Albuquerque,12,410,230.328,0.939589807,285.9277778
18,37,May,Albuquerque,13,410,1900.206,2.552100906,297.5944444
18,38,May,Albuquerque,14,410,1765.848,2.552100906,297.5944444
18,39,May,Albuquerque,15,410,1650.684,2.907680394,298.15
18,40,May,Albuquerque,16,410,1650.684,2.907680394,298.15
18,41,May,Albuquerque,17,410,1247.61,2.542160154,295.9277778
18,42,May,Albuquerque,18,410,748.566,2.641091,296.4833333
18,43,May,Albuquerque,19,410,652.596,2.641091,296.4833333
18,44,May,Albuquerque,20,410,652.596,2.641091,296.4833333
18,45,May,Albuquerque,21,410,0,2.641091,296.4833333
18,46,May,Albuquerque,22,410,0,2.641091,296.4833333
18,47,May,Albuquerque,23,410,0,2.314505486,294.8166667
18,48,May,Albuquerque,24,410,0,2.314505486,294.8166667
19,49,May,Albuquerque,1,410,0,2.189709023,294.2611111
19,50,May,Albuquerque,2,410,0,2.189709023,294.2611111
19,51,May,Albuquerque,3,410,0,2.189709023,294.2611111
19,52,May,Albuquerque,4,410,0,1.549563007,290.9277778
19,53,May,Albuquerque,5,410,0,1.549563007,290.9277778
19,54,May,Albuquerque,6,410,57.582,1.366752997,289.8166667
19,55,May,Albuquerque,7,410,57.582,1.366752997,289.8166667
19,56,May,Albuquerque,8,410,57.582,1.340809753,289.2611111
19,57,May,Albuquerque,9,410,57.582,1.340809753,289.2611111
19,58,May,Albuquerque,10,410,57.582,1.340809753,289.2611111
19,59,May,Albuquerque,11,410,882.924,1.607742234,291.4833333
19,60,May,Albuquerque,12,410,882.924,1.607742234,291.4833333
19,61,May,Albuquerque,13,410,882.924,1.607742234,291.4833333
19,62,May,Albuquerque,14,410,882.924,1.607742234,291.4833333
19,63,May,Albuquerque,15,410,882.924,1.607742234,291.4833333
19,64,May,Albuquerque,16,410,1305.192,1.138076166,289.8166667
19,65,May,Albuquerque,17,410,230.328,0.76725283,285.3722222
19,66,May,Albuquerque,18,410,230.328,0.76725283,285.3722222
19,67,May,Albuquerque,19,410,153.552,0.182129051,281.4833333
19,68,May,Albuquerque,20,410,95.97,0.089305106,280.3722222
19,69,May,Albuquerque,21,410,0,0.089305106,280.3722222
19,70,May,Albuquerque,22,410,0,0.089305106,280.3722222
19,71,May,Albuquerque,23,410,0,0.14298652,281.4833333
19,72,May,Albuquerque,24,410,0,0.143902317,280.3722222
17,1,August,Albuquerque,1,410,0,3.789322708,302.5944444
17,2,August,Albuquerque,2,410,0,2.799868638,299.2611111
17,3,August,Albuquerque,3,410,0,2.550427889,298.15
17,4,August,Albuquerque,4,410,0,2.237479044,297.0388889
17,5,August,Albuquerque,5,410,0,1.826931325,294.8166667
17,6,August,Albuquerque,6,410,57.582,1.826931325,294.8166667
17,7,August,Albuquerque,7,410,57.582,1.60542042,293.7055556
17,8,August,Albuquerque,8,410,57.582,1.208074461,292.0388889
17,9,August,Albuquerque,9,410,95.97,1.321797826,293.15
17,10,August,Albuquerque,10,410,95.97,1.321797826,293.15
17,11,August,Albuquerque,11,410,1535.52,4.406573604,304.8166667
17,12,August,Albuquerque,12,410,1535.52,4.406573604,304.8166667
17,13,August,Albuquerque,13,410,1535.52,4.406573604,304.8166667
17,14,August,Albuquerque,14,410,1535.52,4.406573604,304.8166667
17,15,August,Albuquerque,15,410,2571.996,8.039297862,312.0388889
17,16,August,Albuquerque,16,410,2571.996,8.039297862,312.0388889
17,17,August,Albuquerque,17,410,2303.28,8.039297862,312.0388889
17,18,August,Albuquerque,18,410,2303.28,8.039297862,312.0388889
17,19,August,Albuquerque,19,410,115.164,7.607130415,310.9277778
17,20,August,Albuquerque,20,410,76.776,7.041404399,309.8166667
17,21,August,Albuquerque,21,410,0,6.517750217,308.7055556
17,22,August,Albuquerque,22,410,0,6.517750217,308.7055556
17,23,August,Albuquerque,23,410,0,6.517750217,308.7055556
17,24,August,Albuquerque,24,410,0,6.517750217,308.7055556
18,25,August,Albuquerque,1,410,0,6.517750217,308.7055556
18,26,August,Albuquerque,2,410,0,2.269630869,298.15
18,27,August,Albuquerque,3,410,0,2.269630869,298.15
18,28,August,Albuquerque,4,410,0,2.269630869,298.15
18,29,August,Albuquerque,5,410,0,1.631842923,294.2611111
18,30,August,Albuquerque,6,410,57.582,1.631842923,294.2611111
18,31,August,Albuquerque,7,410,57.582,1.438527185,292.5944444
18,32,August,Albuquerque,8,410,57.582,1.23976993,291.4833333
18,33,August,Albuquerque,9,410,57.582,1.23976993,291.4833333
18,34,August,Albuquerque,10,410,57.582,1.23976993,291.4833333
18,35,August,Albuquerque,11,410,57.582,1.23976993,291.4833333
18,36,August,Albuquerque,12,410,1708.266,5.988620264,308.7055556
18,37,August,Albuquerque,13,410,1708.266,5.988620264,308.7055556
18,38,August,Albuquerque,14,410,1708.266,5.988620264,308.7055556
18,39,August,Albuquerque,15,410,1708.266,5.988620264,308.7055556
18,40,August,Albuquerque,16,410,1708.266,5.988620264,308.7055556
18,41,August,Albuquerque,17,410,2399.25,9.745082037,314.8166667
18,42,August,Albuquerque,18,410,825.342,9.377175029,314.2611111
18,43,August,Albuquerque,19,410,614.208,9.228365767,313.7055556
18,44,August,Albuquerque,20,410,191.94,6.77451952,309.2611111
18,45,August,Albuquerque,21,410,0,6.033039034,307.5944444
18,46,August,Albuquerque,22,410,0,6.033039034,307.5944444
18,47,August,Albuquerque,23,410,0,3.582865294,301.4833333
18,48,August,Albuquerque,24,410,0,3.582865294,301.4833333
19,49,August,Albuquerque,1,410,0,2.96260068,299.8166667
19,50,August,Albuquerque,2,410,0,2.96260068,299.8166667
19,51,August,Albuquerque,3,410,0,2.96260068,299.8166667
19,52,August,Albuquerque,4,410,0,1.963962652,295.9277778
19,53,August,Albuquerque,5,410,0,1.963962652,295.9277778
19,54,August,Albuquerque,6,410,57.582,1.758226155,294.8166667
19,55,August,Albuquerque,7,410,57.582,1.758226155,294.8166667
19,56,August,Albuquerque,8,410,57.582,1.758226155,294.8166667
19,57,August,Albuquerque,9,410,95.97,1.667779831,293.7055556
19,58,August,Albuquerque,10,410,95.97,1.667779831,293.7055556
19,59,August,Albuquerque,11,410,95.97,1.667779831,293.7055556
19,60,August,Albuquerque,12,410,95.97,1.667779831,293.7055556
19,61,August,Albuquerque,13,410,95.97,1.667779831,293.7055556
19,62,August,Albuquerque,14,410,95.97,1.667779831,293.7055556
19,63,August,Albuquerque,15,410,2840.712,10.12742355,315.3722222
19,64,August,Albuquerque,16,410,2840.712,10.12742355,315.3722222
19,65,August,Albuquerque,17,410,1861.818,9.023157711,313.7055556
19,66,August,Albuquerque,18,410,1497.132,8.682505581,313.15
19,67,August,Albuquerque,19,410,1497.132,8.682505581,313.15
19,68,August,Albuquerque,20,410,76.776,7.283551871,310.9277778
19,69,August,Albuquerque,21,410,0,5.038211291,306.4833333
19,70,August,Albuquerque,22,410,0,4.934641448,306.4833333
19,71,August,Albuquerque,23,410,0,4.934641448,306.4833333
19,72,August,Albuquerque,24,410,0,4.934641448,306.4833333
17,1,October,Albuquerque,1,410,0,1.33715118,288.7055556
17,2,October,Albuquerque,2,410,0,1.33715118,288.7055556
17,3,October,Albuquerque,3,410,0,1.33715118,288.7055556
17,4,October,Albuquerque,4,410,0,0.938945596,285.3722222
17,5,October,Albuquerque,5,410,0,0.938945596,285.3722222
17,6,October,Albuquerque,6,410,0,0.938945596,285.3722222
