,Ea_o,Hd_o,dS_o,k25_o,residual_o,BIC_o,Parameter,MA,ID,Ea,Hd,dS,k25,residual,BIC,Parameter,MA,ID
242,60.97130523,464.4966019,1.488396683,49.14174183,23.98770368,34.30075104,Jmax,Old,1,58.4774436,463.783146,1.486112149,49.14153927,23.97459348,34.29747092,Jmax,New,1
11,65.90526858,200,0.635154899,49.1788349,25.61981345,32.90393955,Jmax,Old,1,63.42553658,200,0.63518495,49.17861286,25.60776916,32.90111819,Jmax,New,1
2421,60.97130523,464.4966019,1.488396683,49.14174183,23.98770368,34.30075104,Jmax,Old,2,58.4774436,463.783146,1.486112149,49.14153927,23.97459348,34.29747092,Jmax,New,2
111,65.90526858,200,0.635154899,49.1788349,25.61981345,32.90393955,Jmax,Old,2,63.42553658,200,0.63518495,49.17861286,25.60776916,32.90111819,Jmax,New,2
113,87.53891029,200,0.636347306,37.45162529,405.782972,49.47865425,Jmax,Old,3,85.05841039,200,0.63637412,37.451807,405.7969846,49.47886144,Jmax,New,3
114,87.53891029,200,0.636347306,37.45162529,405.782972,49.47865425,Jmax,Old,4,85.05841039,200,0.63637412,37.451807,405.7969846,49.47886144,Jmax,New,4
212,19.19651981,255.0727203,0.803120962,198.4783719,25626.12451,205.5735029,Jmax,Old,5,16.73387254,254.4442038,0.80117371,198.4509247,25619.46578,205.5685653,Jmax,New,5
115,20.73214522,200,0.62908237,199.8370463,25725.8712,202.7028757,Jmax,Old,5,18.26367904,200,0.629125308,199.8040288,25717.94433,202.6970203,Jmax,New,5
254,20.95310773,767.957444,2.433139889,166.6822886,15280.20945,195.7494802,Jmax,Old,6,18.45432408,767.4677753,2.431604174,166.6363508,15284.11361,195.7543341,Jmax,New,6
116,28.89608596,200,0.633674434,172.4838154,18308.11317,196.2399717,Jmax,Old,6,26.42697456,200,0.633703326,172.4591902,18306.77112,196.2385788,Jmax,New,6
1972,43.0622503,176.6185534,0.569075099,135.6816598,58.87263546,39.68776127,Jmax,Old,7,40.66304883,176.5035622,0.568748942,135.6958787,58.93074257,39.69368033,Jmax,New,7
119,39.23049618,200,0.642210329,132.4101729,69.33437062,38.87738797,Jmax,Old,7,36.79427482,200,0.642238662,132.3947698,69.56981127,38.89772782,Jmax,New,7
1110,24.65287422,200,0.627337868,89.95375645,3.43E-26,-166.288983,Jmax,Old,8,22.15926046,200,0.627379324,89.95603611,3.64E-27,-173.0252631,Jmax,New,8
40,40,40,0.65,64.94138384,7.27E-27,-57.34814461,Jmax,Old,9,40,42,0.65,64.94138384,0.031506237,-0.619692683,Jmax,New,9
1111,40,200,0.65,64.94138384,28.30630062,6.180961483,Jmax,Old,9,40,200,0.65,64.94138384,39.59293738,6.51652782,Jmax,New,9
200,726.6476636,699.5308192,2.379417688,201.3215228,3938.393823,131.8781586,Jmax,Old,10,722.7955804,698.2112396,2.374932835,201.3327759,3939.076713,131.8805859,Jmax,New,10
1112,48.70908424,200,0.637587069,189.044309,4336.304038,130.5865929,Jmax,Old,10,46.23602942,200,0.637613988,189.0402756,4336.829855,130.5882904,Jmax,New,10
205,105.3402145,153.4770407,0.531492592,110.1283387,184.3661323,52.49178458,Jmax,Old,11,102.9540751,153.5932307,0.531883452,110.1226376,184.551596,52.49882271,Jmax,New,11
1113,39.62255745,200,0.661698486,120.9029723,386.2066596,55.72201731,Jmax,Old,11,37.25281603,200,0.661724761,120.9071646,386.6716875,55.73044088,Jmax,New,11
248,67.16364347,101.0610639,0.331913582,127.4256467,79.58498607,36.07351262,Jmax,Old,12,64.77827134,101.2002138,0.332398678,127.429163,79.48364689,36.06714184,Jmax,New,12
