,Ea_o,Hd_o,dS_o,k25_o,residual_o,BIC_o,Parameter,MA,ID,Ea,Hd,dS,k25,residual,BIC,Parameter,MA,ID
183,195.2071841,141.7042708,3.074191463,34.36186076,76.69190151,41.27427963,Vcmax,Old,1,165.7489122,114.7660212,1.521180987,34.36413441,76.6183758,41.26852457,Vcmax,New,1
13,53.50290898,200,0.468505972,34.36186124,76.69190157,39.48252016,Vcmax,Old,1,50.98288446,200,0.472175843,34.36413626,76.6183759,39.47676511,Vcmax,New,1
1832,195.2071841,141.7042708,3.074191463,34.36186076,76.69190151,41.27427963,Vcmax,Old,2,165.7489122,114.7660212,1.521180987,34.36413441,76.6183758,41.26852457,Vcmax,New,2
131,53.50290898,200,0.468505972,34.36186124,76.69190157,39.48252016,Vcmax,Old,2,50.98288446,200,0.472175843,34.36413626,76.6183759,39.47676511,Vcmax,New,2
132,172.7726,200,0.653102697,21.29754591,292.7472433,53.78257612,Vcmax,Old,3,170.4681495,200,0.653146569,21.29453147,292.7451303,53.78252559,Vcmax,New,3
134,172.7726,200,0.653102697,21.29754591,292.7472433,53.78257612,Vcmax,Old,4,170.4681495,200,0.653146569,21.29453147,292.7451303,53.78252559,Vcmax,New,4
247,68.55768336,198.4311894,0.639786752,122.795925,23947.17833,222.6387808,Vcmax,Old,5,66.09984849,198.4945566,0.640008736,122.786179,23945.00705,222.6368766,Vcmax,New,5
135,68.26420725,200,0.644704909,122.6766214,23947.84609,219.5948439,Vcmax,Old,5,65.81699987,200,0.644727898,122.6712368,23945.62234,219.5928938,Vcmax,New,5
1971,52.72146952,747.8443665,2.374480466,97.37686423,12129.29967,199.8891425,Vcmax,Old,6,50.21029968,747.6588741,2.373902143,97.36023158,12124.20112,199.8807338,Vcmax,New,6
136,65.91855304,200,0.638801127,102.518918,20086.57782,206.981967,Vcmax,Old,6,63.42908612,200,0.63881673,102.5120588,20085.45697,206.9808509,Vcmax,New,6
1883,53.7643728,479.5358139,1.531387446,75.58036416,163.1122039,51.63438749,Vcmax,Old,7,51.29931676,478.5739129,1.528337065,75.56389061,163.2811614,51.64163459,Vcmax,New,7
138,68.06083272,200,0.643479949,81.63613748,542.2537907,58.097548,Vcmax,Old,7,65.60424102,200,0.643500245,81.62815208,542.2707981,58.09776755,Vcmax,New,7
139,93.03013591,200,0.633590484,41.06751941,119.3970748,30.48132707,Vcmax,Old,8,90.53754776,200,0.633614075,41.06816582,119.4397188,30.48275546,Vcmax,New,8
401,40,40,0.65,42.12415136,2.47E-27,-58.42613761,Vcmax,Old,9,40,42,0.65,42.12415136,0.013256101,-1.485420349,Vcmax,New,9
1310,40,200,0.65,42.12415136,11.90974235,5.315233817,Vcmax,Old,9,40,200,0.65,42.12415136,16.65854148,5.650800153,Vcmax,New,9
137,239.0599094,195.5307969,0.668340818,91.49298946,1000.513813,112.6945284,Vcmax,Old,10,236.0396115,195.1068815,0.666862304,91.4898365,1000.54198,112.6949225,Vcmax,New,10
1311,73.60171861,200,0.636780922,89.87524536,1046.563374,110.685445,Vcmax,Old,10,71.12396419,200,0.636807027,89.8738864,1046.684367,110.6870634,Vcmax,New,10
2051,61.75677677,1030.01317,3.367624278,106.8982552,83.19599955,46.92171402,Vcmax,Old,11,59.33666578,1028.559824,3.362886831,106.9036717,83.14890005,46.91775001,Vcmax,New,11
1312,66.13180491,200,0.650931168,105.7440342,121.5534958,47.62989024,Vcmax,Old,11,63.73257159,200,0.650961873,105.7491267,121.4702673,47.62509565,Vcmax,New,11
240,78.02996754,144.910294,0.462289904,71.0695677,2.041369599,17.7574901,Vcmax,Old,12,75.62865021,144.7197589,0.461737014,71.06999143,2.031642741,17.73360882,Vcmax,New,12
1313,72.26463442,200,0.634989277,69.90331588,4.893638943,20.51962835,Vcmax,Old,12,69.80441251,200,0.635019939,69.89249117,4.937436253,20.56417852,Vcmax,New,12
1823,218.3593801,147.2993017,1.752740257,35.43710668,612.5320596,81.04185803,Vcmax,Old,13,75.60813456,1579.503003,5.037339806,34.26436275,575.0321265,80.41010431,Vcmax,New,13
1314,76.51396198,200,0.620812838,34.80224493,601.9927414,78.56571398,Vcmax,Old,13,74.01869657,200,0.620885487,34.80189022,601.8466054,78.56328615,Vcmax,New,13
246,66.30244773,408.8697689,1.315692248,63.74020391,2066.987622,100.8015994,Vcmax,Old,14,63.7996767,408.8688385,1.315696699,63.73882577,2066.596608,100.7995183,Vcmax,New,14
1315,89.14156211,200,0.651318234,69.29752476,3548.389361,104.3481207,Vcmax,Old,14,86.63351927,200,0.65132384,69.30224495,3550.007168,104.3531347,Vcmax,New,14
201,281.2414958,258.2483649,0.909253044,40.06644213,19.09300668,36.61857404,Vcmax,Old,15,278.2914504,257.7926732,0.907630302,40.06538202,19.09081739,36.61777135,Vcmax,New,15
1316,36.76625985,200,0.645332107,40.44435965,22.41751982,35.79630853,Vcmax,Old,15,34.34479701,200,0.645379799,40.44524281,22.42737004,35.79938365,Vcmax,New,15
252,50.38830579,228.115376,0.719847728,101.0408482,1144.934301,101.1774087,Vcmax,Old,16,47.92818183,227.5394472,0.718062531,101.0374566,1144.979705,101.1778845,Vcmax,New,16
1317,52.51587874,200,0.631699214,101.1968911,1148.399334,98.72876402,Vcmax,Old,16,50.02617286,200,0.631724581,101.191581,1148.341451,98.72815917,Vcmax,New,16
19711,55.19591941,3897.112595,12.36485487,81.67568737,3976.471184,116.1179791,Vcmax,Old,17,52.67243985,3893.480587,12.35333997,81.67600375,3974.732165,116.11273,Vcmax,New,17
1318,63.37750514,200,0.633131031,83.01952519,7587.18465,121.3858621,Vcmax,Old,17,60.88050346,200,0.633151405,83.01827488,7586.43512,121.3846765,Vcmax,New,17
230,149.2589556,147.4146932,0.49506145,27.09114517,446.561939,83.94663532,Vcmax,Old,18,146.7329236,147.4904627,0.495293707,27.09082484,446.5316443,83.94588906,Vcmax,New,18
1319,58.21957208,200,0.634355927,26.0791586,518.2117718,83.18560465,Vcmax,Old,18,55.7593587,200,0.63439089,26.07619781,518.2775999,83.18700189,Vcmax,New,18
2151,65.54653826,78.40687018,0.248535394,83.23189065,428.2295468,77.46243896,Vcmax,Old,19,63.12840964,78.53151134,0.248989261,83.23085617,428.2250017,77.46233282,Vcmax,New,19
1320,51.19790702,200,0.623222655,82.77780077,443.7155599,75.51509737,Vcmax,Old,19,48.7043266,200,0.623275566,82.7733047,443.8374896,75.51784492,Vcmax,New,19
1321,58.53789815,200,0.631843153,82.74377329,288.1137501,71.19681378,Vcmax,Old,20,56.04386989,200,0.631868311,82.74360918,287.820116,71.18661699,Vcmax,New,20
234,83.98268619,111.4011092,0.362983884,95.81377561,9553.823845,170.0451949,Vcmax,Old,21,81.53868024,111.5381672,0.363443244,95.81161634,9553.416296,170.0444696,Vcmax,New,21
1322,55.39678438,200,0.63232785,92.66319915,10014.79297,168.0130524,Vcmax,Old,21,52.92209315,200,0.63235876,92.6523974,10015.52647,168.0142975,Vcmax,New,21
2142,41.85137256,3200.530792,10.17894523,73.9973883,2522.566922,154.5015354,Vcmax,Old,22,39.34620238,3176.503369,10.1024831,73.98460093,2523.564022,154.5086489,Vcmax,New,22
1323,53.36234536,200,0.632100594,74.737374,3146.863072,155.5914875,Vcmax,Old,22,50.87635872,200,0.632126426,74.73057745,3145.733146,155.5850232,Vcmax,New,22
235,89.69336993,282.6448649,0.914780454,93.75920412,670.3486178,54.28229034,Vcmax,Old,23,87.23974906,282.5461203,0.914477825,93.75528288,670.1156545,54.28020483,Vcmax,New,23
1324,103.7885222,200,0.651550466,95.73611999,766.0956047,53.29158529,Vcmax,Old,23,101.328863,200,0.651564397,95.73764991,766.0086522,53.29090425,Vcmax,New,23
195,169.7121434,139.3537053,0.474002175,88.45000229,223.8014818,53.84863509,Vcmax,Old,24,166.8676356,139.1452962,0.473244972,88.45002693,223.8019334,53.84864921,Vcmax,New,24
1325,56.99301014,200,0.626558133,91.1387647,247.3778606,52.60382779,Vcmax,Old,24,54.4907934,200,0.626593605,91.14314629,247.4669528,52.60634836,Vcmax,New,24
1326,68.48582954,200,0.622122982,22.02129725,6.501050177,18.83936318,Vcmax,Old,25,66.01545742,200,0.622264717,22.02023999,6.493483073,18.83470455,Vcmax,New,25
243,71.28606152,328.8399607,1.059705544,26.67252158,60.84142024,69.78032755,Vcmax,Old,26,68.81913047,328.5449801,1.058768962,26.67172178,60.82634817,69.77710669,Vcmax,New,26
1327,81.50513666,200,0.64640672,27.01620554,64.97184764,68.06926046,Vcmax,Old,26,79.04692914,200,0.646424318,27.01564676,64.95591093,68.06607135,Vcmax,New,26
1836,65.06501468,343.0401795,1.093402223,62.27236293,0.169152112,5.304600837,Vcmax,Old,27,62.64036502,340.087355,1.084016604,62.27382755,0.174986182,5.474143997,Vcmax,New,27
1328,71.15016067,200,0.639463268,63.94973099,5.58406731,21.17953452,Vcmax,Old,27,68.69532115,200,0.639488558,63.94156438,5.526381989,21.12761417,Vcmax,New,27
1991,142.8416881,108.1665505,0.375583811,84.56085823,255.3657006,54.77219563,Vcmax,Old,28,140.3522255,108.2697247,0.375881928,84.57024021,255.126957,54.76564821,Vcmax,New,28
1329,53.03258606,200,0.621402021,79.0623958,462.2608352,56.98031419,Vcmax,Old,28,50.56855846,200,0.621497205,79.04056494,463.5254738,56.99943842,Vcmax,New,28
1951,89.03042156,181.8618747,0.580786662,90.49574171,7.47E-27,-227.8966882,Vcmax,Old,29,86.59248702,181.7210431,0.580373087,90.49574171,2.61E-26,-222.9011102,Vcmax,New,29
1330,85.60210589,200,0.637258965,89.99455839,0.534070794,8.842600761,Vcmax,Old,29,83.12142387,200,0.63727941,89.98841323,0.547073238,8.938817883,Vcmax,New,29
238,119.2692772,121.1432672,0.402425454,79.50868394,69.89037039,35.42402472,Vcmax,Old,30,116.7966016,121.2694236,0.402834448,79.50796987,69.85554112,35.42153239,Vcmax,New,30
1331,64.44433405,200,0.634105864,77.06703732,162.639039,38.03761372,Vcmax,Old,30,61.96561636,200,0.634132459,77.06138084,162.8386918,38.04374787,Vcmax,New,30
1974,55.63345286,342.343857,1.094703323,64.4628519,940.1244813,98.81232577,Vcmax,Old,31,53.14200165,342.2894456,1.094543133,64.45772079,939.8286327,98.80854888,Vcmax,New,31
1332,66.78456626,200,0.642872549,66.15011347,1133.023487,98.56701148,Vcmax,Old,31,64.30984609,200,0.642889054,66.1478664,1132.983987,98.56659313,Vcmax,New,31
1333,104.2073191,200,0.647455607,61.91734821,86.1779899,34.86202146,Vcmax,Old,32,101.7533516,200,0.647475676,61.91781173,86.14719323,34.86023433,Vcmax,New,32
55,86.50353309,75.04064026,0.248414897,52.07317943,6859.687119,180.5324436,Vcmax,Old,33,74.71500834,135.7844973,0.436777603,52.18323877,6680.679356,180.0300428,Vcmax,New,33
1334,70.50220861,200,0.640330862,51.29520544,6603.38403,176.8644926,Vcmax,Old,33,68.0400002,200,0.640353756,51.29079708,6603.406978,176.8645586,Vcmax,New,33
210,242.9469615,190.7760637,0.652518478,81.81625,1886.040681,114.4218624,Vcmax,Old,34,49.601534,-190.6866568,-0.652184819,81.81693073,1885.961588,114.4213172,Vcmax,New,34
1335,75.80228859,200,0.632415831,81.29943996,2011.979501,112.6972241,Vcmax,Old,34,73.32550341,200,0.632456501,81.29745284,2012.243419,112.6989292,Vcmax,New,34
20511,188.267057,149.5177373,0.508098475,50.03020664,564.3435246,53.24948184,Vcmax,Old,35,185.7468329,149.5829994,0.508289972,50.02874651,564.3249374,53.24928422,Vcmax,New,35
1336,63.16951831,200,0.625649383,52.3712904,583.5032283,51.65804337,Vcmax,Old,35,60.67951043,200,0.62570996,52.37194822,583.5568879,51.65859511,Vcmax,New,35
2062,254.6849733,250.2319257,0.845402283,98.66746095,1384.152315,58.63256204,Vcmax,Old,36,252.0857422,250.2220802,0.845342783,98.65972494,1383.784239,58.63096629,Vcmax,New,36
1337,22.26662385,200,0.613294399,109.6642756,1631.306918,57.82656404,Vcmax,Old,36,19.75354371,200,0.613395966,109.6695402,1631.965568,57.82898609,Vcmax,New,36
2056,54.23567588,370.8440985,1.180691859,98.06530951,0.085186817,1.874842415,Vcmax,Old,37,51.73168114,370.7003261,1.18024814,98.06604138,0.08313242,1.75278275,Vcmax,New,37
1338,75.6059761,200,0.643031789,97.22479005,418.2589144,42.76045069,Vcmax,Old,37,73.11185026,200,0.643045826,97.2337501,418.7057738,42.76578973,Vcmax,New,37
1825,80.39802381,116.3551451,0.377059902,110.5743819,7527.600256,58.82104323,Vcmax,Old,38,75.62616169,129.9492051,0.419212866,109.8935774,7432.904651,58.75774532,Vcmax,New,38
1339,69.69083691,200,0.63946529,107.2669979,7050.793373,56.88442454,Vcmax,Old,38,67.20139938,200,0.63948082,107.2660916,7050.676792,56.88434187,Vcmax,New,38
1911,109.3546539,115.4111643,0.381469799,122.3128247,5280.40655,119.5212787,Vcmax,Old,39,106.8677873,115.5420256,0.381890618,122.3106423,5280.243785,119.5209088,Vcmax,New,39
