"","ID.medlyn","file.medlyn","variable.medlyn","model.medlyn","deviance_SS.medlyn","numIter.medlyn","BIC.medlyn","k25.medlyn","Ea.medlyn","delS.medlyn","Hd.medlyn","minT.medlyn","maxT.medlyn","ID.new","file.new","variable.new","model.new","deviance_SS.new","numIter.new","BIC.new","k25.new","Ea.new","delS.new","Hd.new","minT.new","maxT.new"
"1","1_elevated","WTC2_ACidata_processed.csv","Vcmax","Medlyn",1342.40606026423,15,58.448816030442,78.3136891406965,87.2323813078906,0.291644874623339,86.6634344805728,16.9972727272727,40.3132142857143,"1_elevated","WTC2_ACidata_processed.csv","Vcmax","New",1345.78344791514,17,58.4638925988953,78.4118508680957,87.2323813078906,0.295578733143772,87.5713693548238,16.9972727272727,40.3132142857143
"2","10_ambient","WTC2_ACidata_processed.csv","Vcmax","Medlyn",262.000570964576,23,42.0311187471109,72.7742584847121,110.484839955227,0.358388049081959,107.527692539177,22.0347166,41.3567857142857,"10_ambient","WTC2_ACidata_processed.csv","Vcmax","New",264.899883905227,30,42.086145122142,72.8614896839202,110.484839955227,0.363078547272852,108.749575290793,22.0347166,41.3567857142857
"3","107_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",79.4810299255138,28,36.0669772115343,40.4396230533477,88.1420987135903,0.607703525637246,187.774930356843,20.0287152707143,39.9496755583333,"107_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","New",85.3479033882141,31,36.4230647523827,40.6228546728683,88.1420987135903,0.592112824908481,182.664756749571,20.0287152707143,39.9496755583333
"4","109_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",12.1735581513319,7,26.6857165068482,55.9049118927785,53.3675643176719,1.65744065096468,520.631950390085,20.7740471169231,39.7841266,"109_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","New",12.2066401281907,6,26.6992857144417,55.9010555323154,50.8907185911194,1.64590848091648,517.01402653795,20.7740471169231,39.7841266
"5","118_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",5.66037669843196,8,22.8568375545153,74.5407213946582,61.1415808498139,0.636412103191538,200.825515764962,19.9896046325,39.9227291992308,"118_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","New",5.6445241306887,12,22.842814805998,74.5379555354936,58.6837289658437,0.635521837039455,200.534578265512,19.9896046325,39.9227291992308
"6","119_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",21.6085607186562,14,29.5548331607453,46.7329228007151,74.9117934515941,0.658578205734658,205.529341255232,20.7106982883333,39.9954217776923,"119_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","New",21.5906473375239,234,29.5506864684875,46.7314098771712,72.4471092030825,0.658486901027283,205.493829502141,20.7106982883333,39.9954217776923
"7","12_ambient","WTC2_ACidata_processed.csv","Vcmax","Medlyn",1003.73587069967,22,56.704408061119,87.4551996557191,138.458133638873,0.400182795362554,118.524609027885,17.0190909090909,40.9240740740741,"12_ambient","WTC2_ACidata_processed.csv","Vcmax","New",1010.9993456152,16,56.7476703597602,87.6003085134732,138.458133638873,0.406112302872474,120.138814877634,17.0190909090909,40.9240740740741
"8","132_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",6.28201530311981,160,23.3778395177477,81.0845585426248,64.9317959990945,0.798116515328693,250.412568664124,20.0274799658333,39.931180635,"132_9/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","New",6.25786589296382,180,23.3585814086532,81.0808211647032,62.4649705327755,0.797332491683282,250.158915944324,20.0274799658333,39.931180635
"9","135_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",0.797772267956307,6,13.0597248282398,63.0925354348947,58.4438394359673,1.21613769536157,383.418416407124,22.223416901,40.0275885266667,"135_7/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","New",0.803151865091765,6,13.0933280282462,63.0902040855569,55.9606381792353,1.21127922406459,381.886609433409,22.223416901,40.0275885266667
"10","163_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","Medlyn",36.8389475499967,37,32.2221635462791,68.6437722115847,52.9530320102487,1.48547750045155,468.427963681992,20.0578041066667,39.9709701553846,"163_8/07/2014","mike_aspinwall_corymbia_calophylla.V1.csv","Vcmax","New",36.9180653966198,18,32.232890373981,68.6384717497924,50.4939439774898,1.46426951702914,461.769760442385,20.0578041066667,39.9709701553846
